"gisaid_epi_isl","Nextstrain_clade","pango_lineage"
"EPI_ISL_483559","19A","B.4.2"
"EPI_ISL_1629810","20B","B.1.1.318"
"EPI_ISL_1653921","20B","B.1.1.25"
"EPI_ISL_1673302","20B","B.1.1.25"
"EPI_ISL_1673339","20B","B.1.1.25"
"EPI_ISL_1714801","20H (Beta, V2)","B.1.351.3"
"EPI_ISL_1742836","20H (Beta, V2)","B.1.351.3"
"EPI_ISL_475756","20B","B.1.1.25"
"EPI_ISL_483699","20B","B.1.1.175"
"EPI_ISL_1531743","20H (Beta, V2)","B.1.351.3"
"EPI_ISL_1538405","20B","B.1.1.318"
"EPI_ISL_1538407","20H (Beta, V2)","B.1.351.3"
"EPI_ISL_1508891","20H (Beta, V2)","B.1.351.3"
"EPI_ISL_1542918","20B","B.1.1.25"
"EPI_ISL_1563631","20H (Beta, V2)","B.1.351.3"
"EPI_ISL_1563632","20B","B.1.1.25"
"EPI_ISL_477127","20B","B.1.1.25"
"EPI_ISL_700329","20B","B.1.1.25"
"EPI_ISL_700342","20B","B.1.1.25"
"EPI_ISL_906098","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1360423","20B","B.1.1.25"
"EPI_ISL_1360437","20B","B.1.1.25"
"EPI_ISL_2178948","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1123268","20B","D.2"
"EPI_ISL_774984","20B","B.1.1.25"
"EPI_ISL_855001","20B","B.1.1.25"
"EPI_ISL_854983","20B","B.1.1.25"
"EPI_ISL_2284890","21A (Delta)","B.1.617.2"
"EPI_ISL_2284891","21A (Delta)","B.1.617.2"
"EPI_ISL_2284886","21A (Delta)","B.1.617.2"
"EPI_ISL_2304467","20H (Beta, V2)","B.1.351.3"
"EPI_ISL_1626495","20A","B.1.36.16"
"EPI_ISL_2235496","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2233380","20H (Beta, V2)","B.1.351.3"
"EPI_ISL_1715164","20H (Beta, V2)","B.1.351.3"
"EPI_ISL_1498138","20H (Beta, V2)","B.1.351.3"
"EPI_ISL_1750962","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1117377","20B","B.1.1.294"
"EPI_ISL_1117376","20B","B.1.1.294"
"EPI_ISL_452355","20B","B.1.1"
"EPI_ISL_1222766","20A","B.1"
"EPI_ISL_933533","20A","B.1"
"EPI_ISL_754230","20A","B.1.164"
"EPI_ISL_1209407","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1653933","20D","C.36.3"
"EPI_ISL_2080973","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2032231","21D (Eta)","B.1.525"
"EPI_ISL_2376308","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1181868","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1549134","19B","A.27"
"EPI_ISL_407976","19B","A"
"EPI_ISL_450726","20C","B.1"
"EPI_ISL_995500","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2319614","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_475064","19A","B"
"EPI_ISL_982258","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1334485","20A","B.1.214.2"
"EPI_ISL_1827285","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2192009","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2362793","20J (Gamma, V3)","P.1"
"EPI_ISL_1000052","20A","B.1.236"
"EPI_ISL_1058548","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1318162","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1533859","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1672272","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1826795","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2348562","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1841398","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2162810","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_738211","20B","B.1.1.5"
"EPI_ISL_734721","20B","B.1.1"
"EPI_ISL_845598","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_995677","20E (EU1)","B.1.177.81"
"EPI_ISL_995691","20E (EU1)","B.1.177.77"
"EPI_ISL_1380556","20A","B.1.1.39"
"EPI_ISL_509712","20B","B.1.1"
"EPI_ISL_509714","20C","B.1"
"EPI_ISL_476831","19B","A"
"EPI_ISL_780383","20A","B.1.160"
"EPI_ISL_780407","20A","B.1.160"
"EPI_ISL_2274030","20J (Gamma, V3)","P.1"
"EPI_ISL_2274031","20J (Gamma, V3)","P.1"
"EPI_ISL_2274032","20J (Gamma, V3)","P.1"
"EPI_ISL_2274033","20C","B.1.575"
"EPI_ISL_2274034","20J (Gamma, V3)","P.1"
"EPI_ISL_2274035","20J (Gamma, V3)","P.1"
"EPI_ISL_2274036","20B","B.1.1.348"
"EPI_ISL_2274037","20J (Gamma, V3)","P.1"
"EPI_ISL_2274038","20J (Gamma, V3)","P.1"
"EPI_ISL_2274039","20J (Gamma, V3)","P.1"
"EPI_ISL_2274040","20B","B.1.1.274"
"EPI_ISL_837560","20B","B.1.1.33"
"EPI_ISL_837572","20B","B.1.1"
"EPI_ISL_837573","20A","B.1.600"
"EPI_ISL_1250842","20B","B.1.1"
"EPI_ISL_1278275","20B","B.1.1"
"EPI_ISL_1278276","20B","B.1.1"
"EPI_ISL_1363787","20E (EU1)","B.1.177"
"EPI_ISL_1278281","20B","B.1.1.348"
"EPI_ISL_1278282","20B","B.1.1.274"
"EPI_ISL_1278283","20B","B.1.1.274"
"EPI_ISL_1278284","20B","B.1.1"
"EPI_ISL_1278277","20B","B.1.1"
"EPI_ISL_1232283","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1232307","20E (EU1)","B.1.177.81"
"EPI_ISL_1232317","20E (EU1)","B.1.177.62"
"EPI_ISL_1232329","20C","B.1.575"
"EPI_ISL_1232330","20C","B.1.575"
"EPI_ISL_1232576","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1232632","20C","B.1.575"
"EPI_ISL_1232862","20C","B.1.575"
"EPI_ISL_1232876","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1288127","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1288137","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1370199","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1370230","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1371264","20C","B.1.575"
"EPI_ISL_1457450","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1521847","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1521851","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1522069","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1521872","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1596400","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1596516","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1705242","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1705268","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1705293","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1705301","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1792862","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1792360","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1792863","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1792865","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_462753","20B","B.1.1"
"EPI_ISL_2029122","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1731081","20A","B.1"
"EPI_ISL_1653935","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2029260","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1300659","20A","B.1.258"
"EPI_ISL_1300645","20A","B.1.258"
"EPI_ISL_1300650","20A","B.1.258.17"
"EPI_ISL_1240071","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1240075","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1240073","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1300651","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_955144","20B","B.1.1"
"EPI_ISL_955146","20B","B.1.1"
"EPI_ISL_955148","20B","B.1.1.39"
"EPI_ISL_955185","20A","B.1.36.1"
"EPI_ISL_1016968","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_560386","20C","B.1"
"EPI_ISL_1677726","20H (Beta, V2)","B.1.351"
"EPI_ISL_1677722","20H (Beta, V2)","B.1.351"
"EPI_ISL_1677727","20H (Beta, V2)","B.1.351"
"EPI_ISL_1677732","20H (Beta, V2)","B.1.351"
"EPI_ISL_1677733","20H (Beta, V2)","B.1.351"
"EPI_ISL_770473","20H (Beta, V2)","B.1.351"
"EPI_ISL_770474","20H (Beta, V2)","B.1.351"
"EPI_ISL_871872","20H (Beta, V2)","B.1.351"
"EPI_ISL_1532854","20H (Beta, V2)","B.1.351"
"EPI_ISL_2241614","20H (Beta, V2)","B.1.351"
"EPI_ISL_2241616","20H (Beta, V2)","B.1.351"
"EPI_ISL_2372279","20H (Beta, V2)","B.1.351"
"EPI_ISL_1516862","20H (Beta, V2)","B.1.351"
"EPI_ISL_2233457","20B","B.1.1.12"
"EPI_ISL_2308469","20B","B.1.1.28"
"EPI_ISL_2308400","20J (Gamma, V3)","P.1"
"EPI_ISL_1068100","20B","B.1.1.378"
"EPI_ISL_1068103","20B","B.1.1.33"
"EPI_ISL_1068208","20B","B.1.1.28"
"EPI_ISL_1213302","20B","P.2"
"EPI_ISL_978512","20B","B.1.1"
"EPI_ISL_1181440","20B","B.1.1.33"
"EPI_ISL_1583672","20J (Gamma, V3)","P.1"
"EPI_ISL_1240639","20B","P.2"
"EPI_ISL_2187752","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2187763","20J (Gamma, V3)","P.1"
"EPI_ISL_2187853","20J (Gamma, V3)","P.1"
"EPI_ISL_2187976","20J (Gamma, V3)","P.1"
"EPI_ISL_2188005","20J (Gamma, V3)","P.1"
"EPI_ISL_2188011","20J (Gamma, V3)","P.4"
"EPI_ISL_2188023","20J (Gamma, V3)","P.1"
"EPI_ISL_1465196","20J (Gamma, V3)","P.1"
"EPI_ISL_1239139","20B","P.2"
"EPI_ISL_1324139","20B","N.1"
"EPI_ISL_1040840","20B","B.1.1.33"
"EPI_ISL_717930","20B","P.2"
"EPI_ISL_717932","20B","P.2"
"EPI_ISL_509431","20A","B.1"
"EPI_ISL_1181460","20B","B.1.1.33"
"EPI_ISL_467366","20B","B.1.1.28"
"EPI_ISL_1858639","20J (Gamma, V3)","P.1.2"
"EPI_ISL_1858928","20J (Gamma, V3)","P.1"
"EPI_ISL_1213317","20B","B.1.1.28"
"EPI_ISL_2245111","20J (Gamma, V3)","P.1"
"EPI_ISL_1799505","20B","B.1.1.28"
"EPI_ISL_1469789","20B","B.1.1.33"
"EPI_ISL_943593","20B","B.1.1.33"
"EPI_ISL_1469645","20B","B.1.1.33"
"EPI_ISL_1195292","20B","B.1.1.28"
"EPI_ISL_1469719","20B","B.1.1.28"
"EPI_ISL_1469779","20B","B.1.1.33"
"EPI_ISL_2344248","20B","B.1.1.33"
"EPI_ISL_2292997","20B","P.2"
"EPI_ISL_2308457","20J (Gamma, V3)","P.2"
"EPI_ISL_412964","20A","B.1"
"EPI_ISL_413016","19A","B"
"EPI_ISL_1139071","20B","P.2"
"EPI_ISL_1139075","20B","P.2"
"EPI_ISL_1171666","20J (Gamma, V3)","P.1"
"EPI_ISL_1293056","20B","B.1.1.28"
"EPI_ISL_1468466","20B","B.1.1.28"
"EPI_ISL_1468474","20B","P.2"
"EPI_ISL_1821230","20B","P.2"
"EPI_ISL_2295443","20B","P.4"
"EPI_ISL_1445125","20B","P.2"
"EPI_ISL_735414","20B","B.1.1.33"
"EPI_ISL_1795132","20J (Gamma, V3)","P.1"
"EPI_ISL_1795223","20J (Gamma, V3)","P.1.2"
"EPI_ISL_1966206","20J (Gamma, V3)","P.4"
"EPI_ISL_1966342","20B","B.1.1.28"
"EPI_ISL_1966376","20J (Gamma, V3)","P.4"
"EPI_ISL_1967000","20J (Gamma, V3)","P.1"
"EPI_ISL_1967235","20J (Gamma, V3)","P.4"
"EPI_ISL_2344544","20J (Gamma, V3)","P.1"
"EPI_ISL_2345386","20B","P.2"
"EPI_ISL_2345422","20J (Gamma, V3)","P.1"
"EPI_ISL_2345652","20J (Gamma, V3)","P.4"
"EPI_ISL_2345678","20J (Gamma, V3)","P.4"
"EPI_ISL_2345692","20J (Gamma, V3)","P.4"
"EPI_ISL_2345753","20J (Gamma, V3)","P.1"
"EPI_ISL_2345760","20J (Gamma, V3)","P.4"
"EPI_ISL_2345771","20J (Gamma, V3)","P.4"
"EPI_ISL_2208938","20J (Gamma, V3)","P.1"
"EPI_ISL_2209295","20B","B.1.1.318"
"EPI_ISL_2345835","20J (Gamma, V3)","P.1"
"EPI_ISL_2345856","20J (Gamma, V3)","P.4"
"EPI_ISL_2345900","20J (Gamma, V3)","P.1"
"EPI_ISL_2241321","20J (Gamma, V3)","P.1"
"EPI_ISL_2209661","20J (Gamma, V3)","P.1"
"EPI_ISL_443187","19A","B.6"
"EPI_ISL_1122419","20B","B.1.1.274"
"EPI_ISL_1122420","20B","B.1.1.274"
"EPI_ISL_435675","19A","B.6"
"EPI_ISL_1122421","20H (Beta, V2)","B.1.351"
"EPI_ISL_435676","19A","B.6.1"
"EPI_ISL_480300","20A","B.1"
"EPI_ISL_1233615","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1231560","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1231749","20A","B.1.258"
"EPI_ISL_1401158","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1401162","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1401171","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1401186","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1401244","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1608312","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1608373","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1608402","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1608481","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1608546","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2180092","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2180142","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2180189","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2180323","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2180408","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1509815","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1509850","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2081878","20B","B.1.1.187"
"EPI_ISL_2081887","20B","B.1.1.192"
"EPI_ISL_2081931","20B","B.1.1"
"EPI_ISL_2082011","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2227198","19B","A.27"
"EPI_ISL_2227199","19B","A.27"
"EPI_ISL_2227202","19B","A.27"
"EPI_ISL_660450","19B","A"
"EPI_ISL_660499","19B","A.19"
"EPI_ISL_660455","19B","A.21"
"EPI_ISL_2142716","20A","B.1"
"EPI_ISL_1040028","20B","B.1.1.214"
"EPI_ISL_918376","20A","B.1.160"
"EPI_ISL_918361","19B","A.23.1"
"EPI_ISL_2106234","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_933780","20A","B.1.36.16"
"EPI_ISL_956394","19A","B.6"
"EPI_ISL_1098607","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1532802","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1534533","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1532805","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1532807","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1534539","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1706598","20A","B.1.466.2"
"EPI_ISL_1818949","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1818963","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1969689","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2106248","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2106257","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1532803","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2106266","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1972309","20A","B.1.619"
"EPI_ISL_1972314","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1972315","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1715197","20A","B.1.619"
"EPI_ISL_1190756","20A","B.1.619"
"EPI_ISL_1190759","20D","B.1.1.1"
"EPI_ISL_1190760","20A","B.1.619"
"EPI_ISL_1190751","20B","L.3"
"EPI_ISL_1190752","21D (Eta)","B.1.2"
"EPI_ISL_1257884","20A","B.1"
"EPI_ISL_1257893","20H (Beta, V2)","B.1.351"
"EPI_ISL_1790109","21C (Epsilon)","B.1.429"
"EPI_ISL_1790123","20A","B.1.620"
"EPI_ISL_2165665","20A","B.1.438.1"
"EPI_ISL_2167107","20A","B.1.438.1"
"EPI_ISL_982299","21D (Eta)","B.1.525"
"EPI_ISL_935818","20B","AE.8"
"EPI_ISL_1258317","20A","B.1.36.18"
"EPI_ISL_1257959","20A","B.1.36.18"
"EPI_ISL_1258347","20A","B.1.438.1"
"EPI_ISL_979319","20A","B.1.438.1"
"EPI_ISL_1258416","20A","B.1.36.18"
"EPI_ISL_1258418","20A","B.1.438.1"
"EPI_ISL_1257915","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1594110","20G","B.1.2"
"EPI_ISL_1594055","20B","AE.8"
"EPI_ISL_1164956","20B","P.2"
"EPI_ISL_1164965","20A","B.1.240"
"EPI_ISL_1164967","19B","A.23.1"
"EPI_ISL_1272254","20B","B.1.1.176"
"EPI_ISL_1272246","20B","B.1.1.176"
"EPI_ISL_1588077","20A","B.1.240"
"EPI_ISL_1055751","20B","AL.1"
"EPI_ISL_1055752","20B","B.1.1.432"
"EPI_ISL_1666686","20B","B.1.1"
"EPI_ISL_1666936","20H (Beta, V2)","B.1.351"
"EPI_ISL_1666947","20A","B.1"
"EPI_ISL_1666981","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2162066","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1055461","20A","B.1.36.31"
"EPI_ISL_586508","20C","B.1.422"
"EPI_ISL_1739600","20B","B.1.1.417"
"EPI_ISL_1739604","20B","B.1.1.417"
"EPI_ISL_1740342","20B","B.1.1"
"EPI_ISL_1490686","20A","B.1.36.31"
"EPI_ISL_450747","19A","B.4"
"EPI_ISL_1697267","20A","B.1.160"
"EPI_ISL_2293835","20A","B.1.160"
"EPI_ISL_2293848","20A","B.1"
"EPI_ISL_825961","20A","B.1.147"
"EPI_ISL_2294273","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2294294","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2294302","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2365408","20A","B.1.620"
"EPI_ISL_2365411","20A","B.1.620"
"EPI_ISL_2365412","20A","B.1.620"
"EPI_ISL_2365414","20A","B.1.620"
"EPI_ISL_2365415","20A","B.1.620"
"EPI_ISL_2365416","20A","B.1.620"
"EPI_ISL_2365417","20A","B.1.620"
"EPI_ISL_1470415","20B","B.1.1"
"EPI_ISL_1167901","20B","B.1.1.348"
"EPI_ISL_1633386","20D","C.37"
"EPI_ISL_1321477","20D","C.37"
"EPI_ISL_1541044","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1633376","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2009648","20D","C.37"
"EPI_ISL_746522","20D","C.11"
"EPI_ISL_1167907","20D","C.11"
"EPI_ISL_1633419","20B","B.1.1.372"
"EPI_ISL_681695","20D","C.11"
"EPI_ISL_1321576","20B","N.4"
"EPI_ISL_1321468","20J (Gamma, V3)","P.1"
"EPI_ISL_1167895","20D","C.26"
"EPI_ISL_1470419","20D","C.37"
"EPI_ISL_1470468","20D","C.37"
"EPI_ISL_1300449","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_746581","20B","B.1.1.33"
"EPI_ISL_746642","20B","B.1.1.33"
"EPI_ISL_746663","20B","N.4"
"EPI_ISL_746667","20A","B.1.600"
"EPI_ISL_746754","20B","B.1.1.33"
"EPI_ISL_1167685","20B","B.1.1"
"EPI_ISL_1167706","20D","C.11"
"EPI_ISL_1167707","20B","N.4"
"EPI_ISL_1321531","20B","B.1.1.348"
"EPI_ISL_1321453","20B","B.1.1.348"
"EPI_ISL_1321536","20D","C.11"
"EPI_ISL_1321509","20B","N.4"
"EPI_ISL_1167721","20B","B.1.1.416"
"EPI_ISL_1167747","20D","C.26"
"EPI_ISL_1321464","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1321543","20B","B.1.1.348"
"EPI_ISL_1633492","21F (Iota)","B.1.526"
"EPI_ISL_1633498","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1633520","20D","C.37"
"EPI_ISL_414579","19B","A.2"
"EPI_ISL_801631","20A","B.1.110"
"EPI_ISL_801823","20A","B.1.110"
"EPI_ISL_1712360","20J (Gamma, V3)","P.1"
"EPI_ISL_1321493","21F (Iota)","B.1.526"
"EPI_ISL_1712340","20J (Gamma, V3)","P.1"
"EPI_ISL_1970349","21A (Delta)","B.1.617.2"
"EPI_ISL_941123","20A","B.1"
"EPI_ISL_941138","20A","B.1"
"EPI_ISL_526949","20A","B.1"
"EPI_ISL_1137618","20J (Gamma, V3)","P.1"
"EPI_ISL_1137619","20J (Gamma, V3)","P.1"
"EPI_ISL_1303377","20J (Gamma, V3)","P.1"
"EPI_ISL_2339903","20A","B.1.111"
"EPI_ISL_1629747","20A","B.1.111"
"EPI_ISL_1675294","20B","B.1.1.348"
"EPI_ISL_2321619","20J (Gamma, V3)","P.1"
"EPI_ISL_1424061","20A","B.1.111"
"EPI_ISL_1820929","20A","B.1.621"
"EPI_ISL_1820927","20A","B.1.621"
"EPI_ISL_1820925","20A","B.1.621"
"EPI_ISL_1805641","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1805642","20B","B.1.1.348"
"EPI_ISL_1805646","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1494958","20A","B.1.526"
"EPI_ISL_2339789","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2339875","20A","B.1.420"
"EPI_ISL_2339876","20A","B.1"
"EPI_ISL_2157212","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2157200","20A","B.1.526"
"EPI_ISL_653754","20A","B.1.420"
"EPI_ISL_1235687","20A","B.1.111"
"EPI_ISL_1626620","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1626619","20J (Gamma, V3)","P.1"
"EPI_ISL_1626613","20J (Gamma, V3)","P.1"
"EPI_ISL_941952","20B","B.1.1"
"EPI_ISL_941997","20A","B.1.420"
"EPI_ISL_1220066","20B","B.1.1.348"
"EPI_ISL_1582978","20A","B.1.621"
"EPI_ISL_1582980","20A","B.1.621"
"EPI_ISL_1820926","20A","B.1.621"
"EPI_ISL_1582990","20A","B.1.621"
"EPI_ISL_2158349","20A","B.1.621"
"EPI_ISL_1220048","20B","B.1.1"
"EPI_ISL_1576835","20B","B.1.1.348"
"EPI_ISL_1577026","20B","B.1.1.348"
"EPI_ISL_1582590","20B","B.1.1.348"
"EPI_ISL_1494950","20A","B.1.111"
"EPI_ISL_1805649","20J (Gamma, V3)","P.1"
"EPI_ISL_1494952","20G","B.1.596"
"EPI_ISL_1671923","20D","C.16"
"EPI_ISL_1671926","20D","C.16"
"EPI_ISL_1654217","20D","C.16"
"EPI_ISL_1671925","20D","B.1"
"EPI_ISL_1671928","20A","B.1.214"
"EPI_ISL_1854756","20A","B.1"
"EPI_ISL_1854760","20A","B.1.214.2"
"EPI_ISL_1854763","20A","B.1.214.2"
"EPI_ISL_1854765","20A","B.1.214.2"
"EPI_ISL_1854788","20A","B.1.214.2"
"EPI_ISL_1854794","20D","C.16"
"EPI_ISL_1857282","20A","B.1.214.2"
"EPI_ISL_581487","20A","B.1.277"
"EPI_ISL_581492","20A","B.1.544"
"EPI_ISL_480326","20A","B.1"
"EPI_ISL_480327","20A","B.1"
"EPI_ISL_1517393","20B","B.1.1.328"
"EPI_ISL_1517400","20C","B.1.291"
"EPI_ISL_1517405","20B","B.1.1.516"
"EPI_ISL_1517431","20H (Beta, V2)","B.1.351"
"EPI_ISL_1527016","20B","B.1.1.328"
"EPI_ISL_1527025","20B","B.1.1.519"
"EPI_ISL_1527027","20B","B.1.1.389"
"EPI_ISL_1811231","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1811240","20H (Beta, V2)","B.1.351"
"EPI_ISL_512661","20B","B.1.1.516"
"EPI_ISL_527739","20C","B.1"
"EPI_ISL_682270","20C","B.1.291"
"EPI_ISL_770025","20B","B.1.1.389"
"EPI_ISL_770022","20B","B.1.1.389"
"EPI_ISL_914819","20A","B.1.234"
"EPI_ISL_914825","20B","B.1.1.389"
"EPI_ISL_1067600","19B","A.2.5.1"
"EPI_ISL_1067621","20A","B.1.234"
"EPI_ISL_1067592","19B","A.2.5.1"
"EPI_ISL_1201439","20B","B.1"
"EPI_ISL_1067616","20B","B.1.1.516"
"EPI_ISL_1067605","20G","B.1.2"
"EPI_ISL_1196421","19B","A.2.5.1"
"EPI_ISL_1196424","20B","B.1.1.389"
"EPI_ISL_1196429","20B","B.1.1.516"
"EPI_ISL_1196433","20A","B.1.234"
"EPI_ISL_1196438","19B","A.2.5.1"
"EPI_ISL_1379392","19B","A.2.5.1"
"EPI_ISL_1379416","19B","A.2.5.1"
"EPI_ISL_1379422","19B","A.2.5.1"
"EPI_ISL_1379426","19B","A.2.5.1"
"EPI_ISL_1712392","19B","A.2.5"
"EPI_ISL_1827512","19B","A.2.5.1"
"EPI_ISL_1827515","19B","A.2.5.1"
"EPI_ISL_1827529","20B","B.1.1.328"
"EPI_ISL_1827544","20G","B.1.596"
"EPI_ISL_1827545","21F (Iota)","B.1.526"
"EPI_ISL_2103377","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2103387","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2272960","20J (Gamma, V3)","P.1"
"EPI_ISL_2272997","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2273004","20J (Gamma, V3)","P.1"
"EPI_ISL_681832","19B","A.19"
"EPI_ISL_614384","19B","A.19"
"EPI_ISL_614387","19B","A.19"
"EPI_ISL_614395","20C","B.1"
"EPI_ISL_1662591","19B","A.18"
"EPI_ISL_1367685","20C","B.1"
"EPI_ISL_1367694","19B","A.19"
"EPI_ISL_1367680","21D (Eta)","B.1.525"
"EPI_ISL_1663670","19B","A.19"
"EPI_ISL_1663667","21D (Eta)","B.1.525"
"EPI_ISL_1663678","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_733151","20B","B.1.1.274"
"EPI_ISL_428901","20A","B.1"
"EPI_ISL_1578514","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1591266","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2308926","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2308927","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1272015","20D","C.35"
"EPI_ISL_985406","20A","B.1"
"EPI_ISL_994659","20A","B.1"
"EPI_ISL_1272056","20A","B.1.474"
