Gene Symbol	Gene Product Name	NCBI Gene ID	Locus Name	UniProtKB Accession	GenBank Accession	GenBank Protein Accession	Subtype/Genotype (ViPR)	Strain Name	Collection Date	Host	Country	CDS Length	Virus Type	Virus Species	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A024B7W1	KJ776791	AHZ13508.1	Asian	H/PF/2013	11/28/2013	Human	French Polynesia	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN755619	QGW51945.1	Asian	H/PF/2013	2013	Human	French Polynesia	2382	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN566104	QGA67050.1	Asian	Haiti/0011/2016	05/31/2016	Human	Haiti	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A140GMI4	KY415986	APW84872.1	Asian	Haiti/0029/2014	05/29/2014	Human	Haiti	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A140GMI4	KY415987	APW84873.1	Asian	Haiti/0033/2014	05/29/2014	Human	Haiti	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A140GMI4	KY415990	APW84876.1	Asian	Haiti/0036/2014	06/02/2014	Human	Haiti	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A140GMI4	KY415988	APW84874.1	Asian	Haiti/0054/2014	06/05/2014	Human	Haiti	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A140GMI4	KY415989	APW84875.1	Asian	Haiti/0074/2014	06/10/2014	Human	Haiti	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A140GMI4	KY415991	APW84877.1	Asian	Haiti/0097/2014	06/24/2014	Human	Haiti	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN577544	QGA67056.1	Asian	Haiti/0148/2016	06/01/2016	Human	Haiti	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN566107	QGA67053.1	Asian	Haiti/0165/2016	05/31/2016	Human	Haiti	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN566105	QGA67051.1	Asian	Haiti/0375/2016	05/31/2016	Human	Haiti	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN566106	QGA67052.1	Asian	Haiti/0395/2016	05/31/2016	Human	Haiti	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN566108	QGA67054.1	Asian	Haiti/0866/2016	05/31/2016	Human	Haiti	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A146CJH9	KX051563	AMX81919.1	Asian	Haiti/1/2016	02/05/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A110ASP6	KU509998	AMB37295.1	Asian	Haiti/1225/2014	12/12/2014	Human	Haiti	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN577543	QGA67055.1	Asian	Haiti/1327/2014	12/11/2014	Human	Haiti	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A140GMI4	KX269878	ANH22038.1	Asian	Haiti/2016/PD	02/01/2016	Human	Italy	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A286LBT8	MF593625	ASU55505.1	Asian	Henan/001/2016	09/14/2016	Human	China	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1D8GUV4	KX928077	AOT82811.1	Asian	HN16	05/16/2016	Human	Honduras	1502	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A173AEF6	KY328289	APO08503.1	Asian	HN16	05/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B1H4R3	KX520666	ANQ92019.1	Asian	HS-2015-BA-01	08/2015	Human	Brazil	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN755617	QGW51943.1	West_African	IbH_30656	09/09/1968	Human	Nigeria	2364	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	H8XX12	HQ234500	AEN75265.1	West_African	IbH_30656	1968	Human	Nigeria	10251	Zika virus	Zika virus	
-N/A-	Nonstructural protein 5	-N/A-	-N/A-	A0A3T0I8H4	MK282412	AZU90728.1	-N/A-	Index_ZIKV_SK-1_2016	09/05/2016	Human	Thailand	211	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A218KLS7	KY126345	APG56493.1	Asian	Indonesia/1606aTw	06/2016	Human	Taiwan	2382	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK852163	QCQ29072.1	Asian	JAI/AEG/J2	09/25/2018	Mosquito	India	1524	Zika virus	Zika virus	
-N/A-	Envelope protein	-N/A-	-N/A-	A0A343K8S8	MF926508	ATE48554.1	West_African	JH160	10/13/2016	Human	Nigeria	841	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A191B547	KU179098	AMK49492.2	Asian	JMB-185	12/30/2014	Human	Indonesia	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1V0E2V9	KY765309	ARB08118.1	Asian	JUHEMA115127963	06/11/2016	Human	Spain	622	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1V0E2W5	KY765308	ARB08117.1	Asian	JUHEMA15127963	03/11/2016	Human	Spain	622	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1V0E2V7	KY765305	ARB08114.1	Asian	JURAVIRA052029583	04/29/2016	Human	Spain	637	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK696546	QCH40598.1	Asian	JXJA1835-1	06/2018	-N/A-	China	1512	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK696547	QCH40599.1	Asian	JXJA1835-2	06/2018	-N/A-	China	1512	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK696549	QCH40601.1	Asian	JXJA1839-1	06/2018	Mosquito	China	1512	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK696548	QCH40600.1	Asian	JXJA1866	06/2018	-N/A-	China	1512	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK696550	QCH40602.1	Asian	JXJA1874-1	06/2018	Mosquito	China	1512	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK696551	QCH40603.1	Asian	JXLHS1807	07/2018	-N/A-	China	10272	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R3G3	MK271857	AZU90691.1	-N/A-	KK-364	10/03/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8B4	MK271858	AZU90692.1	-N/A-	KK-397	10/03/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R028	MK271859	AZU90693.1	-N/A-	KK-411	10/03/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R107	MK271860	AZU90694.1	-N/A-	KK-417	10/03/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9QZV1	MK271861	AZU90695.1	-N/A-	KK-420	10/03/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R360	MK271862	AZU90696.1	-N/A-	KK-421	10/03/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8D7	MK271863	AZU90697.1	-N/A-	KK-567	10/06/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8D4	MK271864	AZU90698.1	-N/A-	KK-569	10/06/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R0D4	MK271855	AZU90689.1	-N/A-	KL-322	09/13/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R0Y0	MK271856	AZU90690.1	-N/A-	KL-323	09/13/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9QZW1	MK271877	AZU90711.1	-N/A-	KP-807	06/20/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8D1	MK271878	AZU90712.1	-N/A-	KP-813	06/20/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8B9	MK271853	AZU90687.1	-N/A-	LB-269	09/11/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9QZN8	MK271854	AZU90688.1	-N/A-	LB-270	09/11/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A513Q7C3	MK451708	QBH74390.1	East_African	LMM4458	02/15/2018	Howler Monkey	Brazil	888	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A288UK00	KY465607	AQA28018.1	Asian	MA1016184	10/26/2016	Mosquito	Ecuador	284	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A218KLT0	KY126348	APG56496.1	Asian	Malaysia/1609dTw	10/2016	Human	Taiwan	2382	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1V0E2W6	KY765306	ARB08115.1	Asian	MASOSOLO051984216	03/29/2016	Human	Spain	636	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A291LTL8	MF988743	ATI25888.1	Asian	MB16-23	09/01/2016	Mosquito	USA	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN755618	QGW51944.1	Asian	MEX 2-81	01/2016	Human	Mexico	2382	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A125S8S4	KU686218	AME17087.1	Asian	MEX/InDRE/14/2015	10/22/2015	Human	Mexico	1177	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A142DS37	KU922923	AMQ34003.1	Asian	MEX/InDRE/Lm/2016	02/25/2016	Human	Mexico	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A142DS38	KU922960	AMQ34004.1	Asian	MEX/InDRE/Sm/2016	02/25/2016	Human	Mexico	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1Q1PS28	KY606271	AQM74760.1	Asian	Mex03/Mexico/2016	03/05/2016	Human	Mexico	10214	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1Q1PS32	KY606272	AQM74761.1	Asian	mex07/Mexico/2016	08/05/2016	Human	Mexico	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1Q1PS43	KY606274	AQM74763.1	Asian	mex39/Mexico/2016	07/07/2016	Human	Mexico	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1Q1PS39	KY606273	AQM74762.1	Asian	mex48/Mexico/2016	06/30/2016	Human	Mexico	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1J0HZK4	KY120349	APC60216.2	Asian	MEX_CIENI551	03/03/2016	Human	Mexico	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1J0HZJ9	KY120348	APC60215.1	Asian	MEX_CIENI551P4	03/03/2016	Human	Mexico	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1S6R2E5	KY631493	AQW43707.1	Asian	MEX_ENCB165	10/15/2015	Human	Mexico	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A172W616	KX247632	ANF04750.1	Asian	MEX_I_7	11/2015	Mosquito	Mexico	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1Y0AXU7	MF098770	ART29827.1	Asian	Mexico-Rus-10GNN-2016	11/09/2016	Human	Russia	9542	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1Y0AXS2	MF098771	ART29828.1	Asian	Mexico-Rus-12TVR-2017	01/30/2017	Human	Russia	10272	Zika virus	Zika virus	
-N/A-	Nonstructural protein 5	-N/A-	-N/A-	A0A3T0I8E6	MK282410	AZU90726.1	-N/A-	Mos_SK-1_No13_Z7	09/08/2016	Mosquito	Thailand	192	Zika virus	Zika virus	
-N/A-	Nonstructural protein 5	-N/A-	-N/A-	A0A3T0I8E5	MK282411	AZU90727.1	-N/A-	Mos_SK-1_No14_Z7	09/08/2016	Mosquito	Thailand	192	Zika virus	Zika virus	
-N/A-	Nonstructural protein 5	-N/A-	-N/A-	A0A3T0I8A8	MK282406	AZU90722.1	-N/A-	Mos_SK-1_No1_Z7	09/08/2016	Mosquito	Thailand	192	Zika virus	Zika virus	
-N/A-	Nonstructural protein 5	-N/A-	-N/A-	A0A3T0I8C9	MK282407	AZU90723.1	-N/A-	Mos_SK-1_No2_Z7	09/08/2016	Mosquito	Thailand	192	Zika virus	Zika virus	
-N/A-	Nonstructural protein 5	-N/A-	-N/A-	A0A3T0I8C3	MK282408	AZU90724.1	-N/A-	Mos_SK-1_No4_Z7	09/08/2016	Mosquito	Thailand	192	Zika virus	Zika virus	
-N/A-	Nonstructural protein 5	-N/A-	-N/A-	A0A3Q9R366	MK282409	AZU90725.1	-N/A-	Mos_SK-1_No6_Z7	09/08/2016	Mosquito	Thailand	192	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A140GE96	KU844090	AMM76159.1	Asian	Moscow-2016	02/2016	Human	Russia	281	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A140GMI4	MF384325	ASF57880.1	Asian	mosquito/Haiti/1682/2016	05/17/2016	Mosquito	Haiti	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1L5YKZ2	KY288905	APP91864.1	East_African	MP1751	11/1962	Mosquito	Uganda	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	C8XPB1	DQ859059	ABI54475.1	East_African	MR 766	-N/A-	Unknown	Uganda	10254	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A140D2T1	KY989511	ARM59240.1	East_African	MR 766	1947	Unknown	Uganda	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	7751225	-N/A-	Q32ZE1	AY632535	AAV34151.1	East_African	MR 766	-N/A-	Monkey	Uganda	10260	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A384KDN3	KU720415	AMK02027.1	East_African	MR 766	1947	Unknown	Uganda	10272	Zika virus	Zika virus	
POLY	polyprotein	7751225	ZIKV_gp1	-N/A-	NC_012532	YP_002790881.1	-N/A-	MR 766	-N/A-	Monkey	Uganda	10260	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A192GPS6	KX377335	ANK57895.1	East_African	MR-766	04/1947	Monkey	Uganda	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN755624	QGW51950.1	East_African	MR766	04/20/1947	-N/A-	Uganda	2370	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4S7Y4	MK105975	AYU74865.1	East_African	MR766	06/14/2016	Monkey	Uganda	10260	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A090BCI3	LC002520	BAP47441.1	East_African	MR766-NIID	-N/A-	Unknown	Uganda	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A140D2T1	KX830960	AOR51315.1	East_African	MR776	-N/A-	Rhesus Monkey	-N/A-	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	H8XX10	HQ234498	AEN75263.1	East_African	MR_766	1947	Rhesus Monkey	Uganda	10269	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A0X8GJ44	KU647676	AMC33116.1	Asian	MRS_OPY_Martinique_PaRi_2015	12/2015	Human	Martinique	10272	Zika virus	Zika virus	
-N/A-	Envelope protein	-N/A-	-N/A-	A0A2S0X2E8	MH130042	AWC05824.1	Asian	MyH335_KL	09/12/2016	Human	Malaysia	574	Zika virus	Zika virus	
-N/A-	Envelope protein	-N/A-	-N/A-	A0A2S0X2F0	MH130043	AWC05825.1	Asian	MyH349_Sbh	09/25/2016	Human	Malaysia	574	Zika virus	Zika virus	
-N/A-	Envelope protein	-N/A-	-N/A-	A0A2S0X2F2	MH130044	AWC05826.1	Asian	MyH414_Sel	12/13/2016	Human	Malaysia	574	Zika virus	Zika virus	
POLY	polyprotein	34443389	CPG35_gp1	-N/A-	NC_035889	YP_009428568.1	Asian	Natal RGN	2015	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A109ZYP8	KU527068	AMB18850.1	Asian	Natal RGN	2015	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A0B4ZW86	KM212961	AJD81421.1	-N/A-	NC14-17042014-4554	04/17/2014	Human	New Caledonia	226	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8BJA4	KX421195	ANO46298.1	Asian	Nica1-16	01/19/2016	Human	Nicaragua	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8BJA4	KX421194	ANO46297.1	Asian	Nica2-16	01/13/2016	Human	Nicaragua	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938908	QHW01656.1	-N/A-	NIHE/HUE-114/2015	08/03/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938909	QHW01657.1	-N/A-	NIHE/HUE-119/2015	08/07/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938895	QHW01643.1	-N/A-	NIHE/HUE-120/2015	08/07/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938910	QHW01658.1	-N/A-	NIHE/HUE-136/2015	08/13/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938911	QHW01659.1	-N/A-	NIHE/HUE-147/2015	08/21/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938904	QHW01652.1	-N/A-	NIHE/HUE-15/2015	07/02/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938894	QHW01642.1	-N/A-	NIHE/HUE-154/2015	08/31/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938901	QHW01649.1	-N/A-	NIHE/HUE-156/2015	08/31/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938905	QHW01653.1	-N/A-	NIHE/HUE-29/2015	07/21/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938902	QHW01650.1	-N/A-	NIHE/HUE-3/2015	06/15/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938899	QHW01647.1	-N/A-	NIHE/HUE-30/2015	07/21/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938896	QHW01644.1	-N/A-	NIHE/HUE-31/2015	07/22/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938906	QHW01654.1	-N/A-	NIHE/HUE-34/2015	07/25/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938900	QHW01648.1	-N/A-	NIHE/HUE-38/2015	07/27/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938898	QHW01646.1	-N/A-	NIHE/HUE-44/2015	07/29/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938907	QHW01655.1	-N/A-	NIHE/HUE-46/2015	07/24/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938897	QHW01645.1	-N/A-	NIHE/HUE-5/2015	06/19/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MN938903	QHW01651.1	-N/A-	NIHE/HUE-9/2015	06/23/2015	Human	Viet Nam	126	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A288WKB9	MF173411	ASA76657.1	-N/A-	NIV1720741	11/14/2016	Human	India	1393	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A288WKD1	MF173409	ASA76655.1	Asian	NIV1720741	11/14/2016	Human	India	453	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A288WKC8	MF173410	ASA76656.1	Asian	NIV1720741	11/14/2016	Human	India	773	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8B5	MK271821	AZU90655.1	-N/A-	NK-186	08/10/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8B3	MK271822	AZU90656.1	-N/A-	NK-187	08/10/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8B2	MK271823	AZU90657.1	-N/A-	NK-188	08/10/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8B0	MK271824	AZU90658.1	-N/A-	NK-714	08/10/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I889	MK271826	AZU90660.1	-N/A-	NS-16n	02/20/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8B1	MK271827	AZU90661.1	-N/A-	NS-239	09/13/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R008	MK271828	AZU90662.1	-N/A-	NS-248	09/13/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R0Z1	MK271829	AZU90663.1	-N/A-	NS-250	09/13/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8A3	MK271830	AZU90664.1	-N/A-	NS-251	09/13/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8C7	MK271831	AZU90665.1	-N/A-	NS-254	09/13/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9QZT0	MK271832	AZU90666.1	-N/A-	NS-255	09/13/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R352	MK271833	AZU90667.1	-N/A-	NS-256	09/13/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R1V9	MK271834	AZU90668.1	-N/A-	NS-257	09/13/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R259	MK271835	AZU90669.1	-N/A-	NS-258	09/13/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R3F5	MK271825	AZU90659.1	-N/A-	NS-7	02/20/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A2H4PVV2	MG366906	ATW74960.1	Asian	NS1-20	08/11/2006	Human	Thailand	1515	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8C0	MK271850	AZU90684.1	-N/A-	NT-332	09/23/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A2H4PVU3	MG279550	ATW74948.1	Asian	P56/ITA	02/15/2016	Mosquito	Brazil	450	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	H8XX11	HQ234499	AEN75264.1	Asian	P6-740	1966	Mosquito	Malaysia	10269	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A192GQP8	KX377336	ANK57896.1	Asian	P6-740	07/1966	Mosquito	Malaysia	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN755625	QGW51951.1	Asian	P_6-740	07/1966	Human	Malaysia	2382	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A384KKS7	KX280026	ANH10698.1	Asian	Paraiba_01	2015	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9QZZ5	MK271804	AZU90638.1	-N/A-	PB108	06/26/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R3E8	MK271802	AZU90636.1	-N/A-	PB69	06/26/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8A5	MK271803	AZU90637.1	-N/A-	PB89	06/26/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MT078742	QIH53581.1	Asian	PE243	06/29/2017	Human	Brazil	10269	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MT078739	QIH53578.1	Asian	PE243	-N/A-	Unknown	Brazil	10269	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MT078740	QIH53579.1	Asian	PE243	-N/A-	Unknown	Brazil	10269	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MT078741	QIH53580.1	Asian	PE243	-N/A-	Unknown	Brazil	10269	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1Z2X283	MF352141	ASB32509.1	Asian	PE243	05/13/2015	Human	Brazil	10272	Zika virus	Zika virus	
