rep,trimmed
KY925323,"KY925323, KY925449, KY925589, KY926096, KY926275, KT837064, KT837987, KT837773, KY926222, KM064288, KT888463, KU322007, KY925566, KY925258, KY926137, KY924932, KY925870, KT838362, KY926393, CY251743, KY925772"
CY193641,"CY193641, KT839861, KY090262, KY090204, CY193485, KT840791, CY193663, KT839565, CY193400, CY193543, KT840717, KT838412, CY193417, CY193562, CY193701, CY207323, KT838483, CY193450, CY193580, CY193581, CY193584, CY193947, CY193948, CY193951, KT840542, KT840361, CY193456, CY193458, CY193459, CY193461, CY193463, CY193464, CY193465, CY193466, CY193467, CY193598, CY193599, CY193728, CY193729, CY193731, CY193732, CY193971, KT838381, KT839370, KT838921, KT839331, KT838367, KT838399, KT840816, KY090280, KT840130, KT840968, KT839025, KY089479"
KT837259,"KT837259, KT837176, KY089907, KT837178, KT837273, KT837286, KT837311, KT838138, KT837951, KT837993, KP701733, KT838047, KR057583, KR057643, KT837099"
KP877347,"KP877347, KP877348, KM064521, KP335959, KP335981, KP335953, KP335954, KP335955"
MG196330,"MG196330, MG196331, KX687774"
KX687777,"KX687777, KX687776, KM064149, KT839947, KJ938675, KT205871, CY251703, MK641740, MK641741, KT838304, KT837435, KM063956, KY089655, KT837429, KT838182, KJ439217, CY193266, CY193309, KT837762, LC032889, KT837779, KT838071, KT837755, KT839558, LC033305, LC033313, KT840639, KT839725, CY193557, KT837861, KT837381, KT838029, KT839966, LC111593, CY193453, CY251895, KR057577, CY251943, CY252167, CY251799, KY328786, KT838269, KT837411, KT840844, KM064233, KM064234, KT837267, KT840023"
CY251679,"CY251679, KP864418, CY251711, KM064376, KM064145, CY187674, CY187675, CY187676, CY187678, CY187679, CY187680, CY187682, KM063935, LC033329, LC033121, LC033137, LC033145, LC033057, KU322298, KU322295, KM064010, MN498057, KY328785, KP335947, KP335948, KP335949, KP335952, KP335950, KM064525"
KP864422,"KP864422, KP864417, LC032993, AB934036, KM064083"
KP701714,"KP701714, KP701716, KP701719, KP701720, KP701721, KP701724, KP701725, KP701728, KR057694, KY090112, MF806949, MF806956, MF806963, MF806970, KR534273, KR534274, CY193264, CY193265, CY193288, KT839845, KR057664, KT840695, KT840664, KY089926, KT837647, KT839110, KY090354, KT839994, KT840077, CY251807, CY251815, CY251991, KT839323, KT840984, KT840144, KT840226, KT839628, KT840224, KT840255, KT840680, KT840507, KT840669, KT839576, KT840006, CY252039, CY251983, CY251951, KT837474, KT838085, KT837461, KT840748, CY250817, CY251735, CY252071, CY252111, CY252127, CY251903, KT838545, KY090010, KT840727, KT840689, KT840924, CY193613, KT837598, KT840730, KT840890, KT840341, KT840479, KT837091"
KP701722,"KP701722, MF806879, MF806886, MF806991, CY193903"
CY193365,"CY193365, CY193367, CY193656, KT840177, CY193394, CY193525, CY193399, CY193407, CY193547, CY193346, CY193950"
MF806711,"MF806711, MF806718"
MF806921,"MF806921, MF806928"
MF807089,"MF807089, MF807096"
LC111581,"LC111581, LC111585, LC111587, LC111582, LC111583"
MK641775,"MK641775, MK641763, MK641779, MK641750, MK641753"
MK641761,"MK641761, MH346485"
KM064501,"KM064501, KM064505, KM063986, CY264689, CY264649, KM064269, CY264705, CY264665, CY264673, KM064263, CY264697, CY264681, KM064507, KM853007, KM852892"
CY193499,"CY193499, CY193556"
KM064238,"KM064238, KM064351"
KR534271,"KR534271, KR534272, KR534275, KR534276"
KT840515,"KT840515, KT819393, KT838423, MH540453, KY681558, KY681559, KY089140, KT840220"
KT837039,"KT837039, KT836943, KT837205"
LC111584,"LC111584, LC111606, LC111588"
KT840247,"KT840247, CY193315"
CY193387,"CY193387, CY193518"
KM507566,"KM507566, KM507567"
KM507568,"KM507568, KM064354, KU322012, KU322008, KM064482, KM064221, KU322297, KU322294"
LC111604,"LC111604, LC111601"
LC111589,"LC111589, LC111602"
LC155853,"LC155853, LC155848, LC155846, LC155849"
KM064131,"KM064131, LC111594, KY328790"
KR057592,"KR057592, KR057616, KR057566, KT837619, CY252103"
KR057624,"KR057624, KR057632"
KT841013,"KT841013, CY193675, KT220427"
KT838594,"KT838594, KT838838"
KT840109,"KT840109, CY193395, CY193541"
KX571067,"KX571067, KX809569, KT889262, KT889266, KT889267, KT889270"
LC155851,"LC155851, LC155845"
CY187685,"CY187685, CY251687"
CY193396,"CY193396, CY193530, CY193674"
CY193532,"CY193532, KT840344, CY193600, CY193968"
LC111603,"LC111603, LC111575, LC111576"
KT889265,"KT889265, KT889268, KT889275"
LC032881,"LC032881, LC032873, KM064490, CY251751"
CY193542,"CY193542, CY193448, CY193449, CY193452, CY193573, CY193574, CY193577, CY193582"
KT838949,"KT838949, KU591399"
KT836988,"KT836988, CY193604, KT839933"
KY116918,"KY116918, KU592823, KX003344"
KT839912,"KT839912, CY193405"
KT839927,"KT839927, KY089301"
CY193687,"CY193687, KT837428, KT837367, KT838021, KT837303, KY089524"
KM064127,"KM064127, KM064133"
KY090004,"KY090004, KT839275"
KT839351,"KT839351, CY207331"
KM063992,"KM063992, KM852926, KM852893"
CY264657,"CY264657, KM852903, KM852908"
KT837256,"KT837256, KT837066"
CY193415,"CY193415, CY193558, CY193559, CY193561, CY193563, CY193933, KT840253"
CY207299,"CY207299, CY207395"
CY207627,"CY207627, MN394386"
CY251967,"CY251967, CY251863, CY252055"
LC033113,"LC033113, LC111596"
CY193331,"CY193331, CY193338"
CY193342,"CY193342, CY193621"
KT837602,"KT837602, KM063961, KT838161, KY090164, KY090450"
CY187724,"CY187724, KM063939"
CY193451,"CY193451, CY193576"
CY193454,"CY193454, KT839955, KT840133"
CY193585,"CY193585, KT841064"
KP701638,"KP701638, KP701651, KU729491"
KU322296,"KU322296, KU322293"
KM064352,"KM064352, KM064117"
MF593705,"MF593705, MF593710, MF593707, CY252151"
KM064508,"KM064508, KM064450, KM064047"
CY193606,"CY193606, CY193740, CY193741, CY193742, CY193974"
KY089215,"KY089215, KT839061"
KR057506,"KR057506, KR057509"
KT841229,"KT841229, KT835907, KT836045, CY193866, KR534313, KT841714, KT841775, KT841894, KT835947, KY090251, CY193509, CY193657, KT843385, CY193671, KT836333, KT841144, CY193539, CY194021, KU322016, KU322014, KT841206, KY089206, CY193695, KT842755, KT835975, KT836204, KT842017, CY207523, CY207755, KT841124, KT842136, CY193809, CY193810, KT842679, CY193571, KU322281, KU322285, CY252431, KT841820, KT835830, CY252735, CY253330, CY253978, CY252994"
KT836052,"KT836052, KY089323, KY089829, KT842463, KX003906, CY193640, CY193754, CY193862, CY193985, KT843470, KT843433, KX003627, KX003635, KX003643, KX003651, KX003659, KX003667, KX003674, KX003680, KX003686, KX003693, KU590854, KX003715, KX003723, KX003731, KU590942, KX003747, KX003755, KX003771, KX003763, KX003779, KX003787, KX003795, KX003803, KX003811, KX003819, KX003835, KX003843, KT844331, KX003851, KX003859, KX003867, KX003875, KT844127, KY089914, KT844135, KT844143, KT844151, KT843621, KY117007, KT844159, KT844167, KT844175, KT844215, KT844223, KT844231, KT844239, KU589683, KU590101, KU590109, KU589691, KU590117, KU589699, KU590124, KU589974, KU590305, KU590015, KX412125, KX412149, KX412163, KX412171, KX412179, KX412187, KX412195, KU589510, KX412200, KX412204, KU589534, KU589549, KU589564, KX412209, KX412217, KX412225, KX412233, KX412241, KX412249, KX412257, KX412265, KX003974, KT844347, KX003982, KU591552, KX003990, KX003997, KU591984, KY090499, KU590762, KU591821, KU590770, KX412292, KU592000, KU592016, KU591837, KX412308, KU592032, KU592040, KU590796, KU591868, KU591876, KU592080, KX412317, KT844356, KX412338, KU590534, KU590550, KU591284, KT843655, KU592127, KU591590, KT843776, KT843784, KT844038, KT843801, KT843809, KT843817, KT843825, KT843833, KT843841, KY090413, KU590652, KU590660, KU590668, KX003495, KU589428, CY193863, KU590075, KU589667, KU590083, KU589675, KU591208, KU590861, KU590868, KU590876, KU590884, KU591217, KU590097, KU591225, KU590892, KX003515, KX003523, KX003531, KT843941, KU589623, KT843603, KY089567, KX003547, KX003555, KX003563, KX003571, KX003579, KX003587, KX003595, KX003603, KX003611, KX003619, KT844366, KT844069, KX411927, KX411935, KX411943, KX411958, KU590454, KX411966, KU590008, KX411973, KX003382, KX003390, KX003398, KX413473, KY044234, KX414161, KX413753, CY193755, CY193864, CY193987, CY194058, KT841829, KT835859, KT836145, CY193989, KY487559, KP877341, KP877342, KP877343, KP877344, KP877361, KP877362, KP877363, KP877365, KP877366, KP877367, KP877369, KP877370, KP877371, KP877372, KY487317, KY487691, KY487588, KY487578, KY615379, KY487580, KY615469, KY487284, KY487641, KY487421, KY487741, CY253354, CY252751, CY252687, CY252799, CY252839, CY252367, CY253074, CY253082, CY253098, CY253130, CY253138, CY252343, CY252351, CY252615, KP701735, KP701736, KP701740, KP701743, KU729318, KU729325, KU729324, KU729326, KU729320, KU729336, KU729337, KU729331, KU729313, KU729314, KU729333, KU729315, KU729316, KU729334, KU729317, KU729319, KU729330, KU729332, KT841569, KT841797, KT841320, KT841253, KY090077, KX413369, KY090041, KX413433, KX413449, KX413441, KX413633, KX413625, KX413641, KX413857, KX415200, KX414833, KY090140, KT843046, CY193486, CY193487, CY193643, CY193644, CY193645, CY193649, CY193758, CY193759, CY193760, CY193865, CY193867, CY193990, CY193992, CY194059, KT842186, KT842999, KT843006, KT843424, KU591023, KU591047, KX412462, KU590828, KU591700, KT819390, KT205855, KT205899, KT205906, KT205908, KT277826, MF806627, MF806634, MF806795, MF806802, MF806823, MF806830, MF806844, MF806865, MF806872, MF806893, MF806900, MF806935, MF806942, MF806977, MF806984, MF807019, MF807033, MF807040, MF807047, MF807054, MF807075, MF807082, MF807103, MF807110, MF807131, MF807138, CY252559, KY925599, MH393255, MK641787, KT841752, KT841880, KT841911, KT835734, KY089394, KU591574, KU591308, KU591175, KX412429, KX412437, KY044066, KX413665, KX413937, KX413953, CY193762, KY487207, KX412654, CY193993, CY194061, CY194062, CY194113, KU289617, KU289625, KU289628, KU289629, KU289630, KU289622, KR534299, KR534300, KR534301, KR534302, KR534303, KR534304, KR534305, KR534320, KT841860, KT841984, KY090225, KT835972, KT841305, KY090242, KT842393, KY090401, KT842403, KY090403, KT842822, KY090213, KT843000, CY193871, CY193872, CY193873, CY193994, CY193995, KT841859, KT841800, KT841654, KT841869, KT842025, KT842740, KT835840, KY089844, KY089969, CY193763, CY193764, CY193877, KT844384, KT843651, KT843979, KT844244, KT844252, KT843552, KU590186, KU589883, KU589891, KU590194, KU589899, KU590202, KU590350, KU591767, KX412020, KY044013, KX412029, KU591930, KU591614, KU591527, KU591638, KU590812, KU591645, KX413417, KX413409, KX003421, KX413609, KT841455, KU591751, CY193523, CY193665, CY193667, CY193669, CY193670, CY193672, CY193767, CY193768, CY193769, CY193881, CY193882, CY193883, KT252564, CY193770, CY193996, MF113174, MF113176, KT842621, KY089438, KY090470, KT842921, KT843359, KT844288, KT844296, KT843434, KT844335, KU591203, KT843543, KT843797, CY193884, CY193885, CY193886, CY193887, CY193888, CY193889, KT843650, CY193997, CY193998, CY193999, KU590903, KU590911, KU591892, KU591140, KU591566, KU592104, KU592158, KU591922, KX413338, KX413697, KT836043, KY090060, KT841318, KY089377, KY089778, KT843014, KT843181, KT843278, KU589596, CY193892, KT843986, KX412470, KY089670, KT835801, KT843492, KU589809, KU590031, KU589817, KU590449, KU590465, KU591425, KU591433, KU590147, KU590155, KU589851, KU590039, KU590047, KU591235, KY090091, KY090047, KT842363, KT843042, KT835887, KT835952, KT842985, KT836011, KY090194, KT843991, KT843606, KT844093, KT844044, KT844007, KT843584, KT844109, KT843656, KT844117, KT843592, KT843699, KT843707, KU589771, KU590272, KU590279, KU589778, KU589785, KU590287, KX412069, KX412085, KY044020, KY044026, KY044033, KY044040, KX413323, CY193676, CY193677, CY193678, CY193772, CY193774, CY193775, CY193776, CY193777, CY193778, CY193780, CY193781, CY193895, CY193897, CY193899, KT220432, KT220433, KT220435, KT843126, KT842513, CY193782, CY193783, CY193906, CY193907, KT841898, KT842804, KT842730, KT842149, KU590728, KU589904, CY193908, CY193909, CY193910, CY193911, CY193912, CY193914, KT841521, KT841853, KT841606, KT842065, KT842858, KU590380, KU590999, KT842933, KT843079, KY044072, KU591192, KU591350, KU591358, CY193683, CY193916, KY328780, KT836206, KY090360, KT842028, KT835979, KT842948, KT843063, KT843489, KU591111, CY193544, CY193545, CY193684, CY193787, CY193918, CY193919, KY089803, KT841198, KT841258, KT841709, KT841226, KT842694, KY089261, KU589529, KU589936, KU589572, KU589952, KU591300, KU591715, KU591895, KU591723, KY044252, KX413729, KU322017, KU322018, KT841630, KT841133, KT842280, KT843387, KT843370, KT843478, KT844324, KT844383, KU589875, KU590178, KT841495, CY193788, CY193789, KT841905, KT841538, KY089190, KU590396, KU590422, KU591314, KT205941, KT841780, KT843907, KU589880, KX004045, CY194023, KU198899, KT841688, KT841705, KY089575, KT843071, KU589648, KX003891, CY193693, CY193694, CY193696, CY193790, CY193791, CY193793, CY193922, CY193923, CY193924, CY193925, CY208106, KT841418, KT842007, KT835797, KY090063, KT842246, KT842877, KT835788, KT835761, KT835769, KY089429, KX003437, KX003429, KX003471, KX003479, CY193795, CY193796, CY193928, CY194024, KT836187, KT835935, KT836358, KT842171, KT842498, KT842055, KT842382, KU589485, KU590606, KT842345, KT843098, KY090430, KT836155, KT842395, KT836050, KT842830, KT843317, CY193797, CY193798, CY193929, CY193931, KT843519, KT843367, KT843995, KU590298, KX003950, KX412814, KX413046, KY090161, KT836216, KY089383, KT843576, KU590249, KU589747, KU590256, KU589755, KU590960, KU589502, CY193932, KT836376, KT841693, KT841458, KT841523, KT836135, KT842010, KT842686, KT842789, KT842257, CY193702, CY193703, CY193704, CY193705, CY193706, CY193708, CY193801, CY193804, CY193805, CY193806, CY193807, CY193935, CY193936, CY193937, CY194065, CY194066, CY194068, CY194070, CY208110, KU589840, KY090424, KT843715, KT843723, KT843739, KX411996, KX412004, KX412782, KY044084, CY207427, CY207435, CY207491, CY207499, CY207531, CY207579, CY207595, CY207603, CY207643, CY207651, CY207659, CY207667, CY207675, CY207683, CY207691, CY207699, CY207707, CY207715, CY207723, CY207731, CY207779, CY207787, CY207803, CY207819, CY207827, CY207835, CY207843, CY207851, CY207891, CY207899, CY207939, CY252922, CY253050, CY253762, CY252639, CY252962, KT836258, KT841218, KY090335, KT835997, KU590358, CY193570, KT841651, KY089968, CY193945, CY193946, CY194025, KT836271, KT842116, KU589631, KT843597, KT844045, KT843690, KT843899, KU589731, KU590704, KT841560, KX003413, CY193718, CY193719, CY193816, CY193817, CY194027, KT841863, KT842500, KY089763, KU589639, KU590676, KT844307, KU589438, KU592195, KU591535, CY194071, KY075835, KY075839, KY075840, KY075836, KY075843, KU322286, KU322279, KY935475, KT842119, KT842727, KT841566, KX412355, KX412363, KU590633, KU591376, KU591079, CY253418, CY253578, CY252695, CY252703, CY253258, CY253266, CY253274, CY253282, CY253226, CY253290, CY253386, CY253394, CY253714, CY253410, KY926296, KY925690, KY926181, KY925818, KU729477, KU729488, KU729469, KU729467, KU729473, KU729459, KU729490, KU729466, KU729474, KU729470, KU729478, KU729463, KU729479, KU729462, KU729461, KU729480, KU729472, KU729471, KU729476, KU729489, KT841357, KT841782, KT841680, KT841673, KT841463, KT841587, KT842581, KY089847, KT842849, KY089807, KT843086, KY089363, KT843499, CY193818, CY193821, CY193955, CY193956, CY194028, KY681564, KY681565, KY681566, KY681567, KY681568, KY681571, KY681572, KY681575, KY681576, MF593715, MG021153, MF993041, MG021158, MG021154, MG701240, MG681516, MF993043, MF993044, MF993045, CY252807, CY253746, CY254002, CY252303, CY252487, CY252575, CY252663, KT842559, KU591661, KU591946, KU591954, CY193722, CY193822, CY193957, CY194029, CY194031, KT841110, KT842766, KT843346, KT835818, KT835710, KT842738, KT841998, KY089954, KT843283, KT843246, KU592171, KU592179, KX003360, CY193595, CY193723, CY193724, CY193823, CY193960, CY193961, CY193962, CY193963, CY193964, CY193965, CY193966, CY194032, CY194035, CY194036, CY194037, CY252311, CY252791, CY253450, CY253682, CY253754, CY253490, CY253322, CY253594, CY253930, CY254098, CY254138, CY254154, CY254106, CY252511, CY252895, CY252335, CY253210, CY253218, CY253170, CY253818, CY253706, CY252271, KT841405, KT841417, KT842646, KT835723, KU589456, KU590687, KU589472, KU589464, KT842112, KT836317, KT843209, KT842064, CY193734, CY193739, CY193824, CY193970, CY193973, KT836059, KX003350, KT844085, KU590924, KU590931, KU591342, KU558939, KU558943, KU558941, KU558950, KU558951, KU558959, KU558968, KU558972, KU558974, KU558945, KU558956, MH410505, MH410507, MH410513, CY252463, CY252399, CY252495, CY252527, CY252447, KT841779, KT842052, KY090509, KY089457, KU589656, CY193826, KY090433, KT843119, CY253562, CY253810, CY253690, CY253698, CY254218, CY254018, CY253002, CY254114, CY253946, CY254082, CY253962, CY252823, CY252879, KT841223, KT841376, KT841343, KT836399, KT844372, CY194040, KT835929, KT841242, KT835968, KT842133, KY090061, KY090309, KY090332, KT842261, KY089310, KT835862, KT835948, KT843159, KY090466, KT843013, KT842976, KT844260, KU590563, CY193627, CY193628, CY193629, CY193748, KU591259, KX004005, CY193828, CY193831, CY193833, CY193834, CY193835, CY193836, CY193838, CY193839, CY193841, CY193842, CY193843, CY193977, CY193978, CY193980, CY194041, CY194074, CY208126, KU591326, KX412411, KX412990, KX414041, KT841834, KT835832, KY090169, KT836091, KT836064, KY090383, KT841754, KT841842, KT841175, KY089672, KT836350, KT842465, KT842230, KT842430, KT842705, KT842225, KT842209, KY090387, KT836090, KT843199, KT842672, KT842831, KT835917, KY089675, KT835726, KY089371, KT843394, KT843938, KU590218, KU591483, KU591492, KU590226, KU589912, KU591318, KX411989, KT841453, KT835753, KU591669, CY193749, CY193845, CY193846, CY193847, CY193984, CY194042, KY273053"
CY193481,"CY193481, KX687772, KX687773, KX687775, KT835967, KY089574, KT841283, KY926260"
KT844183,"KT844183, KT842409, CY193756, CY193757, CY253650, CY253858, KT842297, KT205858, KT374335, CY193653, KY090228, KU589612, KU591292, KU591087, CY193664, KT843667, KU591147, KU591155, KU592166, KT842092, KU590264, KU589763, KT835784, KT835793, CY193786, CY193905, KY044114, KX413022, KT841338, KT843096, CY193915, KY089243, KU590951, KT843915, KT841644, KY089786, KT843328, KT843178, KT836066, CY193812, CY193944, KT842292, CY193813, CY193815, KT843293, KY089993, KT841430, CY253938, KT842223, KY090272, KT836134, KT836308, CY193601, CY193972, CY194039, KU558949, KU558965, KU558971, KU558962, KU558975, CY253202, KT374342, KY090328, CY193630, CY193832, KU591063, KY044006"
KT844191,"KT844191, KT844199, KT844207, KU590140, KU589715, KU589990, KX003883, KU590329, KU589998, KX412093, KX412117, KX412133, KU591405, KU590321, KU591560, KU591797, KU592024, KY116934, KX412300, KU591845, KU592048, KU592072, KU591861, KX412324, KU591268, KU591276, KX413457, KX413521, KX003406, KY044304, KX414169, KX414177, CY254202, KX413833, KX413841, KX412454, MK641788, KX413673, KU590976, KX412387, KX412558, KX412566, KX412574, KX413785, MF113181, KU590917, KU590787, KU591884, KX412347, KU592112, KX413331, KX412582, KX412590, KX412598, KX412606, KX412614, KX412622, KX412694, KU590372, KT843557, KU590433, KU589801, KU590720, KU589739, KU591900, KX003898, KU590055, KX003929, KX003935, KU591464, KU590752, KU589968, KX413617, KX413713, KX412630, KX412886, KU589493, KU591519, KX414465, CY259575, KU590510, KX412371, KU590643, KX413465, KX412646, KX412638, CY253786, MF593714, MF593717, MF593718, MF593719, CY254034, CY254146, CY254162, KU591508, KU590242, KU590855, KU591381, CY208127, CY208128, CY208129, CY208130, KU591123, KU591131, KU591392, KX412403, KU592134, KU592142, KU591970, KU591962, KY044077, KU591708, KX003453, KX003458, KU590845, KX412534, KX413537, KX412702, KX412710, KX412958, KX412966, KX412974, KX412982, KT843951, KT843973, KU589521, KU589920, KU591622"
KU590132,"KU590132, KU589707, KU591379, KU589541, KX003966, KU591992, KX411950, KU591743, KU590023, KU590494, KU590502"
KU590313,"KU590313, KU589982, KX412101"
KX412109,"KX412109, KU591853, KU590778, KU592056, KU590542, KU592120, KX413529, CY208122, KX413346, KX413354, KU589960, KY116942, KU933501, KU590744, KX003739, KT843763, KU589723, KU590696, CY252711, CY252239, KX004021"
KT844265,"KT844265, CY252455, CY252623, CY252599, KT842783, KY090149, CY252679, CY252383"
KX412141,"KX412141, KU591829, KU592064, KU592088, KU589928, KU590091, KX003941, KU590625, KU589793, KU590736"
KX412273,"KX412273, KU592008, KX412331, KU590526, KU589580, KU589944, KU590398, KU590405, KX004013"
KU591805,"KU591805, KU591813"
KX003502,"KX003502, CY253770, KU591071"
CY193986,"CY193986, KP701737, KP701741, KU729338, KU729345, KU729340, KU729343, KU729344, KU729342, KU729346, KU729341, KU289613, KU289619, KU289620, KU289635, KR534288, KR534289, KR534290, KR534297, KR534309, KR534310, KR534312, KR534314, KR534315, KU589824, KT844280, KY090477, CY193784, KY089188, KY089686, KT842811, CY207771, KT843208, CY193712, KT841261, KT841260, KT841348, KU592744, KT841099, KT841106, KT841324, MG021152, KT842862, KT842810, CY252503, CY253042, CY253234, CY253442, CY253506, CY253906, KY089213, CY253722, CY253994, CY252671, CY252215, KT836104, KT842425, KT843007"
KT843553,"KT843553, KT843172, KX003370, KX003377, KY044001, KU591975, KT835742, CY193715, KT836218, CY193737, CY253890, KT842404"
KT835922,"KT835922, CY193991"
KT844061,"KT844061, KU591031, KT843145"
KX413761,"KX413761, KX413777, KY044299, KX414137, KX413873, KX413929, KX413705"
CY193988,"CY193988, KT841362"
KX414145,"KX414145, KU591938"
KX414153,"KX414153, KX413377, KY044214"
KU590983,"KU590983, KU590991"
KY487159,"KY487159, KT841684, KT836319, KT836386, KT835995, KT843212, KT836273"
KP877364,"KP877364, KU729351, CY193761, MF113172, CY193738"
KY615509,"KY615509, KY487450, KY925783, KY925136, KY925421, KY487356, KT841888, KX413737, KX413745, KU322015, KT841423, CY193700, CY207287, CY207923, KT842085, KU322280, KU322284, KY925287, KY925109, KY926344, KY925261, KY925865"
CY253314,"CY253314, CY253026"
CY252847,"CY252847, CY193844"
CY253090,"CY253090, CY253834"
CY253114,"CY253114, KY681574"
CY254090,"CY254090, CY252930, CY253642, CY253522, CY254058, CY253850, CY253882, CY253730, CY253530"
KU729327,"KU729327, KU729328"
KU729349,"KU729349, KU729350, KT841843, KT836288, KT841103, KT841721, KT841637"
KU729322,"KU729322, KU729323, KY089760"
KU729329,"KU729329, KT842613, KY089989, KT835946"
KT841306,"KT841306, KT842786"
KX413721,"KX413721, KX413054, KY078595"
KX413881,"KX413881, KX414840, KX414848, KX414856, KX916092, KX412718, KX916084"
KX413985,"KX413985, KY078619"
KY089229,"KY089229, CY207515"
KT841970,"KT841970, KU558973, MH410506"
KU591677,"KU591677, KU591684, KU590820, KU591692"
KT205865,"KT205865, KT205887"
MF806655,"MF806655, MF806662"
MF806851,"MF806851, MF806858"
CY252543,"CY252543, KT844394, CY194073"
MK641784,"MK641784, MK641785, MF113175, MF113177, MF113171, KT843755"
MK641786,"MK641786, KT844316"
MK641789,"MK641789, CY193697, CY193699"
KT841686,"KT841686, CY193654, CY193869, CY193794"
KY089388,"KY089388, CY193588"
KU591184,"KU591184, KU589867, KU590171, CY254130"
KX413945,"KX413945, KX412510, KX003445, KX412502, KX413014, KX412518, KX412526"
KU289607,"KU289607, KU289608, KU289610"
KU289627,"KU289627, KU289632"
KR534283,"KR534283, KR534282, KR534295, KR534307, KR534311, KR534316"
KR534286,"KR534286, KR534287"
KR534292,"KR534292, KR534291, KR534294, KR534308"
KR534298,"KR534298, KR534306"
KT836106,"KT836106, KU591007, KX411981, KX412395, KY044048"
KY090238,"KY090238, KY089287, KU558976, CY252831"
KT841441,"KT841441, KT841640, KT836178"
KX413801,"KX413801, KU590342, KU591653, KX413489, KX413657, KT835777, KX413385"
KT843857,"KT843857, KU589447"
KT843865,"KT843865, KT843873, KT843881"
KX413649,"KX413649, KY044247, CY194064, KT842582, KU558964, CY253658, KX412550, KX413569"
CY193766,"CY193766, KT842873, CY253922, KT836144, CY193825, KT842521, KT880082"
MF113178,"MF113178, KY328782, MG021157"
KT842834,"KT842834, CY194002, CY194004, CY194005, CY194006, CY194007, CY194008, CY194009, CY194011, CY194016, CY194017, CY194018, CY194019, CY194020, KT220429, KT220436, CY252519"
KY090455,"KY090455, KT842134, KT842874"
KY090461,"KY090461, KT842629, CY193679, CY193894, CY193896"
KU591163,"KU591163, KT836147"
KU591908,"KU591908, KU592096"
KU592150,"KU592150, KU591606"
KX413577,"KX413577, KX413585, KX413593"
CY193891,"CY193891, KY044227, KY044222"
KT841528,"KT841528, KT842195, KT835718, CY193721"
KX412037,"KX412037, KU591781, KX412045, KU591789, KX412061, KX412053, KX412077, KU591095"
LC155865,"LC155865, LC155881"
LC155873,"LC155873, LC155895"
CY193531,"CY193531, CY194003"
CY193680,"CY193680, CY193681, CY193901, KT220431, KT220434"
CY193900,"CY193900, CY193902, CY194063"
CY194001,"CY194001, CY194012"
CY208123,"CY208123, CY208124"
CY193785,"CY193785, CY193904"
KY328779,"KY328779, MF993042"
CY193913,"CY193913, KT842670"
KX412421,"KX412421, KU591630, KU591366, KX412478"
CY208104,"CY208104, CY194072"
KX413553,"KX413553, KX413545, KX413561, KY044240, KX413689, KX413681, KX414617, KX414609, CY253466"
KT842320,"KT842320, CY193720"
KU592165,"KU592165, KU589847, KU592187"
KT835729,"KT835729, KT841505, KY089600, CY193814"
KY089334,"KY089334, CY193800"
KU590804,"KU590804, KY044059"
KT842346,"KT842346, KT842328, KT843384, KU592771"
KU589859,"KU589859, KU590163"
KT836321,"KT836321, CY193827, CY193840"
MH540461,"MH540461, CY207795"
CY193707,"CY193707, CY193803, CY193938"
CY193709,"CY193709, CY193939"
CY193802,"CY193802, CY207547, KT842876"
CY194067,"CY194067, CY194069"
CY252938,"CY252938, CY254010"
KT841760,"KT841760, CY193954"
CY193808,"CY193808, CY193811"
KT843024,"KT843024, MF993046"
KY075844,"KY075844, KY075838"
KX413401,"KX413401, KX413393"
CY252655,"CY252655, CY252479, CY252231"
KU729484,"KU729484, KU729485"
CY253498,"CY253498, CY253970"
CY252295,"CY252295, CY252415, CY252327"
CY252319,"CY252319, CY252407, CY252423, CY252375, CY252583"
CY193726,"CY193726, CY194034"
CY252783,"CY252783, CY253674, CY253242"
CY253338,"CY253338, CY253778"
KT841327,"KT841327, CY193837"
CY193730,"CY193730, CY193733, CY193735, CY193736"
KX412486,"KX412486, KX412494"
KU558940,"KU558940, KU558942"
KU558958,"KU558958, KU558970"
KU558966,"KU558966, KU558969, CY253378"
CY253866,"CY253866, CY254194"
CY253570,"CY253570, CY253186"
CY253586,"CY253586, CY252954"
CY252815,"CY252815, CY253010"
CY253122,"CY253122, KY273055"
CY253154,"CY253154, CY253194"
KU590571,"KU590571, KU590579, KU590587"
KU591334,"KU591334, KU590234, KU589931"
KX412670,"KX412670, KX412678, KX412686, KX412838, KY044102, KX414529, KY044278, KX413993, KX414321, KX414705, KX415128, KX415152, KX415928, KX415960, KX414641, KX414649, KX414936, KY044359, KX416024, KX412918, KX412926, KX412934, KX413913, KY044259, KX416568, KX416560, CY259831, KY044266, KX413921, KX415104, KY044126, KY044330, KX415352, KX414585, KX414577, KX415048, KX414545"
